id,order_id,inventory_batch_id,quantity_tons
LINE-00237,ORD-00237,INV-00237,1.64
LINE-00238,ORD-00238,INV-00238,0.27
LINE-00239,ORD-00239,INV-00239,0.28
LINE-00240,ORD-00240,INV-00240,0.83
LINE-00241,ORD-00241,INV-00241,1.25
LINE-00242,ORD-00242,INV-00242,0.44
LINE-00243,ORD-00243,INV-00243,0.61
LINE-00244,ORD-00244,INV-00244,0.27
LINE-00245,ORD-00245,INV-00245,0.29
LINE-00246,ORD-00246,INV-00246,0.6
LINE-00247,ORD-00247,INV-00247,0.96
LINE-00248,ORD-00248,INV-00248,1.02
LINE-00249,ORD-00249,INV-00249,1.53
LINE-00250,ORD-00250,INV-00250,0.46
LINE-00251,ORD-00251,INV-00251,1.83
LINE-00252,ORD-00252,INV-00252,1.62
LINE-00253,ORD-00253,INV-00253,0.89
LINE-00254,ORD-00254,INV-00254,1.68
LINE-00255,ORD-00255,INV-00255,1.02
LINE-00256,ORD-00256,INV-00256,1.0
LINE-00257,ORD-00257,INV-00257,1.61
LINE-00258,ORD-00258,INV-00258,1.32
LINE-00259,ORD-00259,INV-00259,0.86
LINE-00260,ORD-00260,INV-00260,1.67
LINE-00261,ORD-00261,INV-00261,0.69
LINE-00262,ORD-00262,INV-00262,1.56
LINE-00263,ORD-00263,INV-00263,0.55
LINE-00264,ORD-00264,INV-00264,1.37
LINE-00265,ORD-00265,INV-00265,0.62
LINE-00266,ORD-00266,INV-00266,0.39
LINE-00267,ORD-00267,INV-00267,1.83
LINE-00268,ORD-00268,INV-00268,1.84
LINE-00269,ORD-00269,INV-00269,1.54
LINE-00270,ORD-00270,INV-00270,1.22
LINE-00271,ORD-00271,INV-00271,0.7
LINE-00272,ORD-00272,INV-00272,1.1
LINE-00273,ORD-00273,INV-00273,0.66
LINE-00274,ORD-00274,INV-00274,0.63
LINE-00275,ORD-00275,INV-00275,1.5
LINE-00276,ORD-00276,INV-00276,1.91
LINE-00277,ORD-00277,INV-00277,0.48
LINE-00278,ORD-00278,INV-00278,0.47
LINE-00279,ORD-00279,INV-00279,0.77
LINE-00280,ORD-00280,INV-00280,0.37
LINE-00281,ORD-00281,INV-00281,1.95
LINE-00282,ORD-00282,INV-00282,1.27
LINE-00283,ORD-00283,INV-00283,1.55
LINE-00284,ORD-00284,INV-00284,2.0
LINE-00285,ORD-00285,INV-00285,1.6
LINE-00286,ORD-00286,INV-00286,0.41
LINE-00287,ORD-00287,INV-00287,1.51
LINE-00288,ORD-00288,INV-00288,1.93
LINE-00289,ORD-00289,INV-00289,1.41
LINE-00290,ORD-00290,INV-00290,0.48
LINE-00291,ORD-00291,INV-00291,0.34
LINE-00292,ORD-00292,INV-00292,0.9
LINE-00293,ORD-00293,INV-00293,1.02
LINE-00294,ORD-00294,INV-00294,1.79
LINE-00295,ORD-00295,INV-00295,0.97
LINE-00296,ORD-00296,INV-00296,1.7
LINE-00297,ORD-00297,INV-00297,1.41
LINE-00298,ORD-00298,INV-00298,1.21
LINE-00299,ORD-00299,INV-00299,1.53
LINE-00300,ORD-00300,INV-00300,1.93
LINE-00301,ORD-00301,INV-00301,1.71
LINE-00302,ORD-00302,INV-00302,1.08
LINE-00303,ORD-00303,INV-00303,1.36
LINE-00304,ORD-00304,INV-00304,1.12
LINE-00305,ORD-00305,INV-00305,1.69
LINE-00306,ORD-00306,INV-00306,0.97
LINE-00307,ORD-00307,INV-00307,1.34
LINE-00308,ORD-00308,INV-00308,1.71
LINE-00309,ORD-00309,INV-00309,1.89
LINE-00310,ORD-00310,INV-00310,0.57
LINE-00311,ORD-00311,INV-00311,0.71
LINE-00312,ORD-00312,INV-00312,0.93
LINE-00313,ORD-00313,INV-00313,1.37
LINE-00314,ORD-00314,INV-00314,0.65
LINE-00315,ORD-00315,INV-00315,1.78
LINE-00316,ORD-00316,INV-00316,1.02
LINE-00317,ORD-00317,INV-00317,1.63
LINE-00318,ORD-00318,INV-00318,1.07
LINE-00319,ORD-00319,INV-00319,0.51
LINE-00320,ORD-00320,INV-00320,1.14
LINE-00321,ORD-00321,INV-00321,1.88
LINE-00322,ORD-00322,INV-00322,0.56
LINE-00323,ORD-00323,INV-00323,0.8
LINE-00324,ORD-00324,INV-00324,0.32
LINE-00325,ORD-00325,INV-00325,1.92
LINE-00326,ORD-00326,INV-00326,1.62
LINE-00327,ORD-00327,INV-00327,0.85
LINE-00328,ORD-00328,INV-00328,0.94
LINE-00329,ORD-00329,INV-00329,1.18
LINE-00330,ORD-00330,INV-00330,1.5
LINE-00331,ORD-00331,INV-00331,1.85
LINE-00332,ORD-00332,INV-00332,1.52
LINE-00333,ORD-00333,INV-00333,0.51
LINE-00334,ORD-00334,INV-00334,0.68
LINE-00335,ORD-00335,INV-00335,0.69
LINE-00336,ORD-00336,INV-00336,0.58
LINE-00337,ORD-00337,INV-00337,1.25
LINE-00338,ORD-00338,INV-00338,1.9
LINE-00339,ORD-00339,INV-00339,1.64
LINE-00340,ORD-00340,INV-00340,0.42
LINE-00341,ORD-00341,INV-00341,0.4
LINE-00342,ORD-00342,INV-00342,1.96
LINE-00343,ORD-00343,INV-00343,0.46
LINE-00344,ORD-00344,INV-00344,1.05
LINE-00345,ORD-00345,INV-00345,1.15
LINE-00346,ORD-00346,INV-00346,0.66
LINE-00347,ORD-00347,INV-00347,0.86
LINE-00348,ORD-00348,INV-00348,1.45
LINE-00349,ORD-00349,INV-00349,0.98
LINE-00350,ORD-00350,INV-00350,1.86
LINE-00351,ORD-00351,INV-00351,1.32
LINE-00352,ORD-00352,INV-00352,1.42
LINE-00353,ORD-00353,INV-00353,1.81
LINE-00354,ORD-00354,INV-00354,1.82
LINE-00355,ORD-00355,INV-00355,1.05
LINE-00356,ORD-00356,INV-00356,0.34
LINE-00357,ORD-00357,INV-00357,1.69
LINE-00358,ORD-00358,INV-00358,0.76
LINE-00359,ORD-00359,INV-00359,0.31
LINE-00360,ORD-00360,INV-00360,1.35
LINE-00361,ORD-00361,INV-00361,0.64
LINE-00362,ORD-00362,INV-00362,0.51
LINE-00363,ORD-00363,INV-00363,0.43
LINE-00364,ORD-00364,INV-00364,1.95
LINE-00365,ORD-00365,INV-00365,1.33
LINE-00366,ORD-00366,INV-00366,1.47
LINE-00367,ORD-00367,INV-00367,0.56
LINE-00368,ORD-00368,INV-00368,0.81
LINE-00369,ORD-00369,INV-00369,1.8
LINE-00370,ORD-00370,INV-00370,1.59
LINE-00371,ORD-00371,INV-00371,1.11
LINE-00372,ORD-00372,INV-00372,0.55
LINE-00373,ORD-00373,INV-00373,0.5
LINE-00374,ORD-00374,INV-00374,1.11
LINE-00375,ORD-00375,INV-00375,0.93
LINE-00376,ORD-00376,INV-00376,0.7
LINE-00377,ORD-00377,INV-00377,0.64
LINE-00378,ORD-00378,INV-00378,1.05
LINE-00379,ORD-00379,INV-00379,0.54
LINE-00380,ORD-00380,INV-00380,0.88
LINE-00381,ORD-00381,INV-00381,0.76
LINE-00382,ORD-00382,INV-00382,0.5
LINE-00383,ORD-00383,INV-00383,0.91
LINE-00384,ORD-00384,INV-00384,0.91
LINE-00385,ORD-00385,INV-00385,0.81
LINE-00386,ORD-00386,INV-00386,1.67
LINE-00387,ORD-00387,INV-00387,1.28
LINE-00388,ORD-00388,INV-00388,1.38
LINE-00389,ORD-00389,INV-00389,1.74
LINE-00390,ORD-00390,INV-00390,0.59
LINE-00391,ORD-00391,INV-00391,0.59
LINE-00392,ORD-00392,INV-00392,1.54
LINE-00393,ORD-00393,INV-00393,1.46
LINE-00394,ORD-00394,INV-00394,1.68
LINE-00395,ORD-00395,INV-00395,0.6
LINE-00396,ORD-00396,INV-00396,0.76
LINE-00397,ORD-00397,INV-00397,0.78
LINE-00398,ORD-00398,INV-00398,1.79
LINE-00399,ORD-00399,INV-00399,1.71
LINE-00400,ORD-00400,INV-00400,0.78
LINE-00401,ORD-00401,INV-00401,1.72
LINE-00402,ORD-00402,INV-00402,1.12
LINE-00403,ORD-00403,INV-00403,1.3
LINE-00404,ORD-00404,INV-00404,1.86
LINE-00405,ORD-00405,INV-00405,0.27
LINE-00406,ORD-00406,INV-00406,1.06
LINE-00407,ORD-00407,INV-00407,1.66
LINE-00408,ORD-00408,INV-00408,0.27
LINE-00409,ORD-00409,INV-00409,0.9
LINE-00410,ORD-00410,INV-00410,1.45
LINE-00411,ORD-00411,INV-00411,1.59
LINE-00412,ORD-00412,INV-00412,1.45
LINE-00413,ORD-00413,INV-00413,0.37
LINE-00414,ORD-00414,INV-00414,1.59
LINE-00415,ORD-00415,INV-00415,0.8
LINE-00416,ORD-00416,INV-00416,1.63
LINE-00417,ORD-00417,INV-00417,1.03
LINE-00418,ORD-00418,INV-00418,0.7
LINE-00419,ORD-00419,INV-00419,1.48
LINE-00420,ORD-00420,INV-00420,0.57
LINE-00421,ORD-00421,INV-00421,1.0
LINE-00422,ORD-00422,INV-00422,1.4
LINE-00423,ORD-00423,INV-00423,0.53
LINE-00424,ORD-00424,INV-00424,1.79
LINE-00425,ORD-00425,INV-00425,1.55
LINE-00426,ORD-00426,INV-00426,0.97
LINE-00427,ORD-00427,INV-00427,0.72
LINE-00428,ORD-00428,INV-00428,1.04
LINE-00429,ORD-00429,INV-00429,1.12
LINE-00430,ORD-00430,INV-00430,0.81
LINE-00431,ORD-00431,INV-00431,0.55
LINE-00432,ORD-00432,INV-00432,1.85
LINE-00433,ORD-00433,INV-00433,1.24
LINE-00434,ORD-00434,INV-00434,0.28
LINE-00435,ORD-00435,INV-00435,0.39
LINE-00436,ORD-00436,INV-00436,0.95
LINE-00437,ORD-00437,INV-00437,1.2
LINE-00438,ORD-00438,INV-00438,0.5
LINE-00439,ORD-00439,INV-00439,1.31
LINE-00440,ORD-00440,INV-00440,0.3
LINE-00441,ORD-00441,INV-00441,0.9
LINE-00442,ORD-00442,INV-00442,1.52
LINE-00443,ORD-00443,INV-00443,0.53
LINE-00444,ORD-00444,INV-00444,1.29
LINE-00445,ORD-00445,INV-00445,0.45
LINE-00446,ORD-00446,INV-00446,0.81
LINE-00447,ORD-00447,INV-00447,1.76
LINE-00448,ORD-00448,INV-00448,1.88
LINE-00449,ORD-00449,INV-00449,0.97
LINE-00450,ORD-00450,INV-00450,0.32
LINE-00451,ORD-00451,INV-00451,1.28
LINE-00452,ORD-00452,INV-00452,0.8
LINE-00453,ORD-00453,INV-00453,1.41
LINE-00454,ORD-00454,INV-00454,1.27
LINE-00455,ORD-00455,INV-00455,0.66
LINE-00456,ORD-00456,INV-00456,0.68
LINE-00457,ORD-00457,INV-00457,1.42
LINE-00458,ORD-00458,INV-00458,1.67
LINE-00459,ORD-00459,INV-00459,1.38
LINE-00460,ORD-00460,INV-00460,0.55
LINE-00461,ORD-00461,INV-00461,1.34
LINE-00462,ORD-00462,INV-00462,0.77
LINE-00463,ORD-00463,INV-00463,1.59
LINE-00464,ORD-00464,INV-00464,0.56
LINE-00465,ORD-00465,INV-00465,1.01
LINE-00466,ORD-00466,INV-00466,0.38
LINE-00467,ORD-00467,INV-00467,1.41
LINE-00468,ORD-00468,INV-00468,1.34
LINE-00469,ORD-00469,INV-00469,0.3
LINE-00470,ORD-00470,INV-00470,1.42
LINE-00471,ORD-00471,INV-00471,0.84
LINE-00472,ORD-00472,INV-00472,0.59
LINE-00473,ORD-00473,INV-00473,1.52
LINE-00474,ORD-00474,INV-00474,0.64
LINE-00475,ORD-00475,INV-00475,1.19
LINE-00476,ORD-00476,INV-00476,1.74
LINE-00477,ORD-00477,INV-00477,0.33
LINE-00478,ORD-00478,INV-00478,1.25
LINE-00479,ORD-00479,INV-00479,1.74
LINE-00480,ORD-00480,INV-00480,0.64
LINE-00481,ORD-00481,INV-00481,1.75
LINE-00482,ORD-00482,INV-00482,0.36
LINE-00483,ORD-00483,INV-00483,1.37
LINE-00484,ORD-00484,INV-00484,0.56
LINE-00485,ORD-00485,INV-00485,0.52
LINE-00486,ORD-00486,INV-00486,1.91
LINE-00487,ORD-00487,INV-00487,0.55
LINE-00488,ORD-00488,INV-00488,0.38
LINE-00489,ORD-00489,INV-00489,1.56
LINE-00490,ORD-00490,INV-00490,1.14
LINE-00491,ORD-00491,INV-00491,1.85
LINE-00492,ORD-00492,INV-00492,0.45
LINE-00493,ORD-00493,INV-00493,0.9
LINE-00494,ORD-00494,INV-00494,0.52
LINE-00495,ORD-00495,INV-00495,1.01
LINE-00496,ORD-00496,INV-00496,0.98
LINE-00497,ORD-00497,INV-00497,1.12
LINE-00498,ORD-00498,INV-00498,0.95
LINE-00499,ORD-00499,INV-00499,1.81
LINE-00500,ORD-00500,INV-00500,0.43
LINE-00501,ORD-00501,INV-00501,1.27
LINE-00502,ORD-00502,INV-00502,1.18
LINE-00503,ORD-00503,INV-00503,0.71
LINE-00504,ORD-00504,INV-00504,1.19
LINE-00505,ORD-00505,INV-00505,0.93
LINE-00506,ORD-00506,INV-00506,1.98
LINE-00507,ORD-00507,INV-00507,1.56
LINE-00508,ORD-00508,INV-00508,1.72
LINE-00509,ORD-00509,INV-00509,1.43
LINE-00510,ORD-00510,INV-00510,0.32
LINE-00511,ORD-00511,INV-00511,0.93
LINE-00512,ORD-00512,INV-00512,1.25
LINE-00513,ORD-00513,INV-00513,1.13
LINE-00514,ORD-00514,INV-00514,1.88
LINE-00515,ORD-00515,INV-00515,1.02
LINE-00516,ORD-00516,INV-00516,1.17
LINE-00517,ORD-00517,INV-00517,0.68
LINE-00518,ORD-00518,INV-00518,0.8
LINE-00519,ORD-00519,INV-00519,0.82
LINE-00520,ORD-00520,INV-00520,1.54
LINE-00521,ORD-00521,INV-00521,0.93
LINE-00522,ORD-00522,INV-00522,0.95
LINE-00523,ORD-00523,INV-00523,1.91
LINE-00524,ORD-00524,INV-00524,0.95
LINE-00525,ORD-00525,INV-00525,0.79
LINE-00526,ORD-00526,INV-00526,1.55
LINE-00527,ORD-00527,INV-00527,1.29
LINE-00528,ORD-00528,INV-00528,1.52
LINE-00529,ORD-00529,INV-00529,0.63
LINE-00530,ORD-00530,INV-00530,1.4
LINE-00531,ORD-00531,INV-00531,0.45
LINE-00532,ORD-00532,INV-00532,0.5
LINE-00533,ORD-00533,INV-00533,1.88
LINE-00534,ORD-00534,INV-00534,1.67
LINE-00535,ORD-00535,INV-00535,0.56
LINE-00536,ORD-00536,INV-00536,0.59
LINE-00537,ORD-00537,INV-00537,0.28
LINE-00538,ORD-00538,INV-00538,1.46
LINE-00539,ORD-00539,INV-00539,0.33
LINE-00540,ORD-00540,INV-00540,0.54
LINE-00541,ORD-00541,INV-00541,0.69
LINE-00542,ORD-00542,INV-00542,0.63
LINE-00543,ORD-00543,INV-00543,1.95
LINE-00544,ORD-00544,INV-00544,0.74
LINE-00545,ORD-00545,INV-00545,1.1
LINE-00546,ORD-00546,INV-00546,1.14
LINE-00547,ORD-00547,INV-00547,1.79
LINE-00548,ORD-00548,INV-00548,1.6
LINE-00549,ORD-00549,INV-00549,1.48
LINE-00550,ORD-00550,INV-00550,0.45
LINE-00551,ORD-00551,INV-00551,1.07
LINE-00552,ORD-00552,INV-00552,1.33
LINE-00553,ORD-00553,INV-00553,0.52
LINE-00554,ORD-00554,INV-00554,1.58
LINE-00555,ORD-00555,INV-00555,1.28
LINE-00556,ORD-00556,INV-00556,1.29
LINE-00557,ORD-00557,INV-00557,1.32
LINE-00558,ORD-00558,INV-00558,1.26
LINE-00559,ORD-00559,INV-00559,1.17
LINE-00560,ORD-00560,INV-00560,1.39
LINE-00561,ORD-00561,INV-00561,1.15
LINE-00562,ORD-00562,INV-00562,0.6
LINE-00563,ORD-00563,INV-00563,1.54
LINE-00564,ORD-00564,INV-00564,0.28
LINE-00565,ORD-00565,INV-00565,0.63
LINE-00566,ORD-00566,INV-00566,1.01
LINE-00567,ORD-00567,INV-00567,0.97
LINE-00568,ORD-00568,INV-00568,1.54
LINE-00569,ORD-00569,INV-00569,1.55
LINE-00570,ORD-00570,INV-00570,1.49
LINE-00571,ORD-00571,INV-00571,0.36
LINE-00572,ORD-00572,INV-00572,0.86
LINE-00573,ORD-00573,INV-00573,0.59
LINE-00574,ORD-00574,INV-00574,0.53
LINE-00575,ORD-00575,INV-00575,0.84
LINE-00576,ORD-00576,INV-00576,1.2
LINE-00577,ORD-00577,INV-00577,0.58
LINE-00578,ORD-00578,INV-00578,0.42
LINE-00579,ORD-00579,INV-00579,0.81
LINE-00580,ORD-00580,INV-00580,0.33
LINE-00581,ORD-00581,INV-00581,1.67
