id,name,owner,location,crop_type,area_acres,expected_yield_tons,status
FRM-0071,Farm 0071,Grower 0071,Mysuru,Banana,66.54,262.68,Growing
FRM-0072,Farm 0072,Grower 0072,Nashik,Mango,34.88,90.79,Growing
FRM-0073,Farm 0073,Grower 0073,Mysuru,Banana,53.11,125.91,Idle
FRM-0074,Farm 0074,Grower 0074,Mysuru,Grapes,13.65,291.42,Growing
FRM-0075,Farm 0075,Grower 0075,Mysuru,Grapes,13.13,136.02,Idle
FRM-0076,Farm 0076,Grower 0076,Mysuru,Pomegranate,50.47,158.31,Harvesting
FRM-0077,Farm 0077,Grower 0077,Pune,Banana,8.33,136.46,Idle
FRM-0078,Farm 0078,Grower 0078,Pune,Banana,37.35,285.17,Harvesting
FRM-0079,Farm 0079,Grower 0079,Mysuru,Grapes,58.98,97.09,Harvesting
FRM-0080,Farm 0080,Grower 0080,Coimbatore,Banana,35.18,95.74,Growing
FRM-0081,Farm 0081,Grower 0081,Pune,Pomegranate,54.87,119.95,Idle
FRM-0082,Farm 0082,Grower 0082,Pune,Banana,35.46,251.78,Harvesting
FRM-0083,Farm 0083,Grower 0083,Mysuru,Mango,37.24,178.2,Idle
FRM-0084,Farm 0084,Grower 0084,Mysuru,Pomegranate,38.13,205.93,Idle
FRM-0085,Farm 0085,Grower 0085,Coimbatore,Mango,54.41,92.3,Idle
FRM-0086,Farm 0086,Grower 0086,Mysuru,Grapes,66.38,227.83,Idle
FRM-0087,Farm 0087,Grower 0087,Mysuru,Mango,65.49,52.73,Growing
FRM-0088,Farm 0088,Grower 0088,Pune,Pomegranate,50.85,232.86,Harvesting
FRM-0089,Farm 0089,Grower 0089,Coimbatore,Mango,58.88,121.35,Harvesting
FRM-0090,Farm 0090,Grower 0090,Pune,Mango,54.2,11.61,Growing
FRM-0091,Farm 0091,Grower 0091,Coimbatore,Mango,18.19,287.81,Idle
FRM-0092,Farm 0092,Grower 0092,Coimbatore,Grapes,46.81,276.07,Growing
FRM-0093,Farm 0093,Grower 0093,Coimbatore,Mango,65.11,203.6,Idle
FRM-0094,Farm 0094,Grower 0094,Mysuru,Pomegranate,50.95,218.59,Idle
FRM-0095,Farm 0095,Grower 0095,Coimbatore,Pomegranate,72.29,225.66,Harvesting
FRM-0096,Farm 0096,Grower 0096,Coimbatore,Banana,61.38,253.56,Harvesting
FRM-0097,Farm 0097,Grower 0097,Coimbatore,Mango,25.59,32.47,Harvesting
FRM-0098,Farm 0098,Grower 0098,Pune,Banana,30.19,268.98,Growing
FRM-0099,Farm 0099,Grower 0099,Pune,Mango,22.34,211.25,Idle
FRM-0100,Farm 0100,Grower 0100,Pune,Grapes,36.12,105.96,Harvesting
