id,order_id,buyer_id,container_number,status
SHP-00158,ORD-00158,BYR-0056,MSCU0000158,Delivered
SHP-00159,ORD-00159,BYR-0090,MSCU0000159,Delivered
SHP-00160,ORD-00160,BYR-0098,MSCU0000160,In Transit
SHP-00161,ORD-00161,BYR-0046,MSCU0000161,Planned
SHP-00162,ORD-00162,BYR-0059,MSCU0000162,Delivered
SHP-00163,ORD-00163,BYR-0081,MSCU0000163,Planned
SHP-00164,ORD-00164,BYR-0067,MSCU0000164,Delivered
SHP-00165,ORD-00165,BYR-0074,MSCU0000165,In Transit
SHP-00166,ORD-00166,BYR-0072,MSCU0000166,Planned
SHP-00167,ORD-00167,BYR-0024,MSCU0000167,In Transit
SHP-00168,ORD-00168,BYR-0049,MSCU0000168,Delivered
SHP-00169,ORD-00169,BYR-0002,MSCU0000169,Delivered
SHP-00170,ORD-00170,BYR-0039,MSCU0000170,Delivered
SHP-00171,ORD-00171,BYR-0011,MSCU0000171,Planned
SHP-00172,ORD-00172,BYR-0071,MSCU0000172,Delivered
SHP-00173,ORD-00173,BYR-0001,MSCU0000173,Delivered
SHP-00174,ORD-00174,BYR-0098,MSCU0000174,In Transit
SHP-00175,ORD-00175,BYR-0074,MSCU0000175,Planned
SHP-00176,ORD-00176,BYR-0048,MSCU0000176,Delivered
SHP-00177,ORD-00177,BYR-0018,MSCU0000177,Delivered
SHP-00178,ORD-00178,BYR-0010,MSCU0000178,In Transit
SHP-00179,ORD-00179,BYR-0060,MSCU0000179,Delivered
SHP-00180,ORD-00180,BYR-0047,MSCU0000180,In Transit
SHP-00181,ORD-00181,BYR-0043,MSCU0000181,Delivered
SHP-00182,ORD-00182,BYR-0066,MSCU0000182,In Transit
SHP-00183,ORD-00183,BYR-0041,MSCU0000183,In Transit
SHP-00184,ORD-00184,BYR-0016,MSCU0000184,Planned
SHP-00185,ORD-00185,BYR-0059,MSCU0000185,Delivered
SHP-00186,ORD-00186,BYR-0063,MSCU0000186,Planned
SHP-00187,ORD-00187,BYR-0059,MSCU0000187,Planned
SHP-00188,ORD-00188,BYR-0038,MSCU0000188,Planned
SHP-00189,ORD-00189,BYR-0091,MSCU0000189,In Transit
SHP-00190,ORD-00190,BYR-0012,MSCU0000190,In Transit
