id,farm_id,weight_tons,quality_grade,status
LOT-00064,FRM-0060,23.73,C,Quality
LOT-00065,FRM-0064,23.38,B,Packing
LOT-00066,FRM-0054,21.03,B,Quality
LOT-00067,FRM-0059,14.23,B,Quality
LOT-00068,FRM-0077,13.2,A,Intake
LOT-00069,FRM-0036,19.54,B,Packing
LOT-00070,FRM-0065,7.41,A,Packing
LOT-00071,FRM-0093,8.17,C,Storage
LOT-00072,FRM-0020,11.72,B,Packing
LOT-00073,FRM-0043,14.25,C,Storage
LOT-00074,FRM-0059,23.39,A,Quality
LOT-00075,FRM-0074,10.19,B,Intake
LOT-00076,FRM-0041,18.87,C,Storage
LOT-00077,FRM-0050,24.72,C,Quality
LOT-00078,FRM-0064,24.16,A,Packing
LOT-00079,FRM-0013,21.98,B,Intake
LOT-00080,FRM-0068,22.85,A,Quality
LOT-00081,FRM-0053,21.9,A,Intake
LOT-00082,FRM-0061,19.76,B,Packing
LOT-00083,FRM-0080,17.62,C,Intake
LOT-00084,FRM-0043,21.46,C,Storage
LOT-00085,FRM-0041,16.04,B,Intake
LOT-00086,FRM-0080,2.64,C,Packing
LOT-00087,FRM-0030,18.92,B,Intake
LOT-00088,FRM-0098,16.21,A,Storage
LOT-00089,FRM-0022,17.66,A,Intake
LOT-00090,FRM-0042,20.11,B,Packing
LOT-00091,FRM-0048,11.34,A,Storage
LOT-00092,FRM-0073,17.36,A,Quality
LOT-00093,FRM-0023,2.9,B,Quality
LOT-00094,FRM-0064,22.91,A,Quality
LOT-00095,FRM-0060,16.31,B,Packing
LOT-00096,FRM-0086,1.23,B,Packing
LOT-00097,FRM-0087,14.12,A,Storage
LOT-00098,FRM-0045,24.7,B,Storage
LOT-00099,FRM-0089,7.0,B,Quality
LOT-00100,FRM-0050,21.48,A,Quality
LOT-00101,FRM-0049,14.73,C,Packing
LOT-00102,FRM-0090,8.09,C,Storage
LOT-00103,FRM-0036,1.19,C,Intake
LOT-00104,FRM-0078,18.88,B,Quality
LOT-00105,FRM-0078,20.25,A,Quality
LOT-00106,FRM-0080,7.02,C,Quality
LOT-00107,FRM-0081,3.33,C,Intake
LOT-00108,FRM-0040,19.93,A,Packing
LOT-00109,FRM-0094,4.15,B,Packing
LOT-00110,FRM-0096,10.97,A,Quality
LOT-00111,FRM-0070,22.04,B,Packing
LOT-00112,FRM-0022,7.17,B,Packing
LOT-00113,FRM-0096,21.89,A,Storage
LOT-00114,FRM-0010,4.38,A,Storage
LOT-00115,FRM-0072,9.78,B,Intake
LOT-00116,FRM-0034,13.88,B,Packing
LOT-00117,FRM-0087,18.98,B,Storage
LOT-00118,FRM-0082,23.57,A,Quality
LOT-00119,FRM-0061,1.6,C,Packing
LOT-00120,FRM-0079,6.31,A,Storage
LOT-00121,FRM-0090,8.25,B,Intake
LOT-00122,FRM-0018,2.09,A,Packing
LOT-00123,FRM-0064,3.79,A,Quality
LOT-00124,FRM-0050,11.89,C,Storage
LOT-00125,FRM-0076,18.81,A,Storage
LOT-00126,FRM-0084,3.38,B,Storage
LOT-00127,FRM-0036,1.79,B,Quality
LOT-00128,FRM-0057,11.67,A,Packing
LOT-00129,FRM-0013,24.54,B,Packing
LOT-00130,FRM-0008,10.56,A,Intake
LOT-00131,FRM-0059,3.2,A,Intake
LOT-00132,FRM-0007,19.88,A,Quality
LOT-00133,FRM-0073,5.92,C,Quality
LOT-00134,FRM-0076,6.18,A,Packing
LOT-00135,FRM-0100,4.54,C,Intake
LOT-00136,FRM-0036,21.6,A,Quality
LOT-00137,FRM-0070,7.02,A,Intake
LOT-00138,FRM-0085,21.79,A,Intake
LOT-00139,FRM-0046,19.96,A,Packing
LOT-00140,FRM-0003,5.18,A,Quality
LOT-00141,FRM-0095,11.1,A,Intake
LOT-00142,FRM-0061,11.76,B,Intake
LOT-00143,FRM-0058,13.09,C,Intake
LOT-00144,FRM-0094,19.8,C,Packing
LOT-00145,FRM-0059,16.44,A,Intake
LOT-00146,FRM-0062,21.34,B,Intake
LOT-00147,FRM-0063,18.1,B,Intake
LOT-00148,FRM-0011,8.73,A,Intake
LOT-00149,FRM-0017,7.6,C,Packing
LOT-00150,FRM-0049,24.87,C,Packing
LOT-00151,FRM-0059,13.13,B,Intake
LOT-00152,FRM-0090,3.75,C,Quality
LOT-00153,FRM-0056,11.84,A,Storage
LOT-00154,FRM-0044,20.86,B,Storage
LOT-00155,FRM-0094,3.28,B,Packing
LOT-00156,FRM-0086,7.12,A,Storage
LOT-00157,FRM-0009,3.19,A,Intake
LOT-00158,FRM-0056,3.32,C,Packing
LOT-00159,FRM-0017,14.35,C,Packing
LOT-00160,FRM-0086,3.93,B,Storage
LOT-00161,FRM-0093,2.23,B,Packing
LOT-00162,FRM-0046,3.49,C,Quality
LOT-00163,FRM-0020,16.76,A,Intake
LOT-00164,FRM-0045,21.29,B,Intake
LOT-00165,FRM-0098,7.69,A,Storage
LOT-00166,FRM-0072,24.39,C,Intake
LOT-00167,FRM-0078,23.3,C,Packing
LOT-00168,FRM-0004,5.33,C,Packing
LOT-00169,FRM-0044,9.42,A,Quality
LOT-00170,FRM-0073,16.78,A,Quality
LOT-00171,FRM-0095,16.2,A,Intake
LOT-00172,FRM-0096,13.73,B,Storage
LOT-00173,FRM-0059,9.18,B,Packing
LOT-00174,FRM-0093,8.79,C,Intake
LOT-00175,FRM-0007,4.73,C,Intake
LOT-00176,FRM-0087,2.96,B,Storage
LOT-00177,FRM-0063,15.57,B,Packing
LOT-00178,FRM-0028,19.12,A,Packing
LOT-00179,FRM-0056,3.66,C,Storage
LOT-00180,FRM-0068,17.01,A,Quality
LOT-00181,FRM-0051,24.63,A,Intake
LOT-00182,FRM-0027,8.23,A,Quality
LOT-00183,FRM-0098,7.13,B,Intake
LOT-00184,FRM-0001,12.94,B,Quality
LOT-00185,FRM-0017,10.12,C,Quality
LOT-00186,FRM-0065,14.41,C,Packing
LOT-00187,FRM-0010,10.53,C,Intake
LOT-00188,FRM-0056,1.45,A,Packing
LOT-00189,FRM-0074,11.3,B,Storage
LOT-00190,FRM-0038,3.76,A,Packing
LOT-00191,FRM-0022,20.23,C,Storage
LOT-00192,FRM-0089,23.07,A,Storage
LOT-00193,FRM-0014,6.84,C,Storage
LOT-00194,FRM-0068,2.89,B,Packing
LOT-00195,FRM-0029,8.99,A,Intake
LOT-00196,FRM-0066,16.2,C,Quality
LOT-00197,FRM-0100,9.39,C,Quality
LOT-00198,FRM-0031,3.47,B,Quality
LOT-00199,FRM-0023,15.46,C,Intake
LOT-00200,FRM-0023,23.83,C,Storage
LOT-00201,FRM-0060,19.11,C,Storage
LOT-00202,FRM-0088,23.18,C,Packing
LOT-00203,FRM-0081,8.59,B,Intake
LOT-00204,FRM-0061,11.61,B,Packing
LOT-00205,FRM-0076,2.35,C,Intake
LOT-00206,FRM-0040,12.08,A,Intake
LOT-00207,FRM-0048,20.96,A,Intake
LOT-00208,FRM-0079,15.26,B,Storage
LOT-00209,FRM-0075,14.3,C,Intake
LOT-00210,FRM-0058,22.82,C,Quality
LOT-00211,FRM-0042,15.52,C,Quality
LOT-00212,FRM-0008,11.81,B,Intake
LOT-00213,FRM-0065,16.51,A,Quality
LOT-00214,FRM-0091,11.51,B,Quality
LOT-00215,FRM-0047,9.95,B,Storage
LOT-00216,FRM-0053,19.59,C,Intake
LOT-00217,FRM-0081,16.54,A,Packing
LOT-00218,FRM-0013,14.39,B,Packing
LOT-00219,FRM-0033,18.37,C,Quality
LOT-00220,FRM-0043,2.96,C,Quality
LOT-00221,FRM-0045,8.45,C,Storage
LOT-00222,FRM-0017,15.28,A,Packing
LOT-00223,FRM-0072,10.04,B,Quality
LOT-00224,FRM-0086,17.87,C,Intake
LOT-00225,FRM-0083,17.09,C,Packing
LOT-00226,FRM-0003,9.7,A,Quality
LOT-00227,FRM-0044,23.74,B,Quality
LOT-00228,FRM-0029,25.0,A,Intake
LOT-00229,FRM-0038,21.27,A,Intake
LOT-00230,FRM-0085,9.08,C,Quality
LOT-00231,FRM-0077,10.04,A,Quality
LOT-00232,FRM-0089,19.51,A,Storage
LOT-00233,FRM-0006,10.86,C,Quality
LOT-00234,FRM-0057,15.65,C,Storage
LOT-00235,FRM-0030,13.82,B,Storage
LOT-00236,FRM-0025,9.83,C,Storage
LOT-00237,FRM-0060,19.47,B,Storage
LOT-00238,FRM-0021,20.61,C,Quality
LOT-00239,FRM-0033,2.25,B,Packing
LOT-00240,FRM-0071,23.42,C,Intake
LOT-00241,FRM-0037,3.01,A,Packing
LOT-00242,FRM-0058,22.73,A,Storage
LOT-00243,FRM-0012,23.71,A,Storage
LOT-00244,FRM-0045,23.33,B,Intake
LOT-00245,FRM-0051,13.05,A,Storage
LOT-00246,FRM-0011,10.0,A,Packing
LOT-00247,FRM-0013,21.14,C,Packing
LOT-00248,FRM-0019,4.3,B,Storage
LOT-00249,FRM-0090,20.95,C,Storage
LOT-00250,FRM-0058,15.77,A,Intake
LOT-00251,FRM-0033,6.18,A,Storage
LOT-00252,FRM-0015,19.63,A,Packing
LOT-00253,FRM-0016,2.15,B,Storage
LOT-00254,FRM-0009,3.66,B,Intake
LOT-00255,FRM-0081,13.37,A,Quality
LOT-00256,FRM-0038,11.3,C,Packing
LOT-00257,FRM-0031,14.7,A,Intake
LOT-00258,FRM-0068,24.39,A,Intake
LOT-00259,FRM-0050,21.96,A,Storage
LOT-00260,FRM-0048,7.09,A,Packing
LOT-00261,FRM-0009,9.28,C,Intake
LOT-00262,FRM-0099,14.97,B,Quality
LOT-00263,FRM-0006,9.46,B,Quality
LOT-00264,FRM-0100,17.43,C,Storage
LOT-00265,FRM-0081,5.37,A,Intake
LOT-00266,FRM-0092,19.63,B,Intake
LOT-00267,FRM-0038,5.84,A,Intake
LOT-00268,FRM-0041,23.4,C,Storage
LOT-00269,FRM-0070,12.36,A,Quality
LOT-00270,FRM-0037,9.57,A,Packing
LOT-00271,FRM-0035,3.99,B,Storage
LOT-00272,FRM-0052,18.84,B,Packing
LOT-00273,FRM-0024,12.91,B,Packing
LOT-00274,FRM-0067,7.4,A,Storage
LOT-00275,FRM-0011,11.33,A,Packing
LOT-00276,FRM-0042,3.46,B,Packing
LOT-00277,FRM-0040,11.7,C,Storage
LOT-00278,FRM-0022,17.55,B,Storage
LOT-00279,FRM-0006,18.44,B,Storage
LOT-00280,FRM-0036,16.35,A,Intake
LOT-00281,FRM-0086,16.3,B,Quality
LOT-00282,FRM-0004,4.43,C,Storage
LOT-00283,FRM-0005,4.03,A,Packing
LOT-00284,FRM-0047,10.19,C,Intake
LOT-00285,FRM-0078,4.68,B,Packing
LOT-00286,FRM-0048,11.65,A,Quality
LOT-00287,FRM-0068,9.81,B,Packing
LOT-00288,FRM-0032,24.05,A,Quality
LOT-00289,FRM-0064,13.43,C,Intake
LOT-00290,FRM-0034,19.6,C,Storage
LOT-00291,FRM-0028,24.91,B,Storage
LOT-00292,FRM-0026,3.94,A,Storage
LOT-00293,FRM-0023,22.57,B,Intake
LOT-00294,FRM-0088,24.22,B,Packing
LOT-00295,FRM-0091,2.56,C,Packing
LOT-00296,FRM-0039,21.43,C,Quality
LOT-00297,FRM-0047,13.21,A,Quality
LOT-00298,FRM-0018,6.68,B,Intake
LOT-00299,FRM-0047,14.3,B,Storage
LOT-00300,FRM-0071,4.11,A,Intake
LOT-00301,FRM-0040,10.56,C,Storage
LOT-00302,FRM-0068,10.86,B,Intake
LOT-00303,FRM-0017,24.34,C,Intake
LOT-00304,FRM-0058,12.18,C,Packing
LOT-00305,FRM-0017,22.07,C,Quality
LOT-00306,FRM-0099,24.19,B,Intake
LOT-00307,FRM-0016,13.43,B,Quality
LOT-00308,FRM-0021,8.74,C,Quality
LOT-00309,FRM-0045,23.74,C,Packing
LOT-00310,FRM-0011,7.01,C,Packing
LOT-00311,FRM-0017,16.0,C,Intake
LOT-00312,FRM-0065,16.38,C,Quality
LOT-00313,FRM-0022,16.81,C,Packing
LOT-00314,FRM-0073,1.99,A,Intake
LOT-00315,FRM-0006,23.77,C,Packing
LOT-00316,FRM-0084,6.06,C,Storage
LOT-00317,FRM-0080,16.34,B,Packing
LOT-00318,FRM-0083,23.96,B,Quality
LOT-00319,FRM-0088,10.75,B,Intake
LOT-00320,FRM-0089,2.44,B,Storage
LOT-00321,FRM-0062,12.15,B,Quality
LOT-00322,FRM-0041,21.68,B,Packing
LOT-00323,FRM-0052,4.14,B,Intake
LOT-00324,FRM-0041,6.8,A,Packing
LOT-00325,FRM-0058,6.95,A,Intake
LOT-00326,FRM-0038,23.69,C,Storage
LOT-00327,FRM-0032,24.1,A,Packing
LOT-00328,FRM-0074,18.31,A,Quality
LOT-00329,FRM-0064,24.9,B,Storage
LOT-00330,FRM-0040,12.94,A,Storage
LOT-00331,FRM-0065,11.97,A,Quality
LOT-00332,FRM-0075,9.47,A,Packing
LOT-00333,FRM-0064,15.34,C,Storage
LOT-00334,FRM-0037,13.88,A,Storage
LOT-00335,FRM-0018,22.18,C,Packing
LOT-00336,FRM-0098,10.68,A,Storage
LOT-00337,FRM-0007,14.69,A,Packing
LOT-00338,FRM-0071,7.93,B,Storage
LOT-00339,FRM-0098,14.2,C,Intake
LOT-00340,FRM-0017,24.4,B,Packing
LOT-00341,FRM-0044,14.39,B,Quality
LOT-00342,FRM-0026,15.46,B,Intake
LOT-00343,FRM-0006,1.93,C,Packing
LOT-00344,FRM-0061,13.46,A,Quality
LOT-00345,FRM-0042,23.35,B,Quality
LOT-00346,FRM-0051,24.77,C,Packing
LOT-00347,FRM-0076,9.07,C,Storage
LOT-00348,FRM-0091,14.51,B,Intake
LOT-00349,FRM-0048,8.95,A,Storage
LOT-00350,FRM-0075,8.38,C,Intake
LOT-00351,FRM-0077,12.39,C,Quality
LOT-00352,FRM-0093,2.23,B,Quality
LOT-00353,FRM-0068,16.1,C,Storage
LOT-00354,FRM-0019,20.72,A,Intake
LOT-00355,FRM-0074,23.76,A,Quality
LOT-00356,FRM-0003,11.58,B,Quality
LOT-00357,FRM-0053,17.57,B,Storage
LOT-00358,FRM-0095,18.46,C,Quality
LOT-00359,FRM-0067,5.98,B,Storage
LOT-00360,FRM-0068,10.04,A,Storage
LOT-00361,FRM-0069,9.22,B,Packing
LOT-00362,FRM-0079,12.62,A,Packing
LOT-00363,FRM-0072,8.16,B,Packing
LOT-00364,FRM-0091,5.97,C,Storage
LOT-00365,FRM-0041,12.52,C,Packing
LOT-00366,FRM-0037,3.92,C,Storage
LOT-00367,FRM-0051,20.64,A,Packing
LOT-00368,FRM-0006,7.9,C,Intake
LOT-00369,FRM-0045,23.18,C,Packing
LOT-00370,FRM-0096,12.5,A,Packing
LOT-00371,FRM-0072,17.71,A,Intake
LOT-00372,FRM-0079,18.78,A,Quality
LOT-00373,FRM-0007,17.08,C,Quality
LOT-00374,FRM-0082,6.59,A,Storage
LOT-00375,FRM-0043,18.22,A,Quality
LOT-00376,FRM-0001,24.15,A,Storage
LOT-00377,FRM-0084,23.44,B,Storage
LOT-00378,FRM-0084,5.79,B,Packing
LOT-00379,FRM-0037,16.5,A,Quality
LOT-00380,FRM-0069,18.73,A,Quality
LOT-00381,FRM-0054,22.17,A,Intake
LOT-00382,FRM-0051,19.91,A,Packing
LOT-00383,FRM-0005,1.22,C,Intake
LOT-00384,FRM-0043,7.83,C,Storage
LOT-00385,FRM-0018,21.43,B,Packing
LOT-00386,FRM-0025,20.41,B,Quality
LOT-00387,FRM-0094,12.01,B,Quality
LOT-00388,FRM-0002,18.68,B,Quality
LOT-00389,FRM-0023,15.66,C,Storage
LOT-00390,FRM-0055,13.37,A,Storage
LOT-00391,FRM-0086,3.29,A,Storage
LOT-00392,FRM-0042,23.46,A,Packing
LOT-00393,FRM-0050,6.65,B,Packing
LOT-00394,FRM-0039,14.98,C,Intake
LOT-00395,FRM-0034,16.69,C,Quality
LOT-00396,FRM-0008,17.03,B,Packing
LOT-00397,FRM-0021,10.73,C,Packing
LOT-00398,FRM-0089,3.82,B,Packing
LOT-00399,FRM-0079,6.3,A,Storage
LOT-00400,FRM-0020,11.92,C,Packing
LOT-00401,FRM-0054,17.85,B,Quality
LOT-00402,FRM-0098,6.94,C,Intake
LOT-00403,FRM-0068,11.72,C,Packing
LOT-00404,FRM-0010,23.01,A,Intake
LOT-00405,FRM-0071,22.67,A,Quality
LOT-00406,FRM-0022,8.87,C,Storage
LOT-00407,FRM-0015,17.33,C,Storage
LOT-00408,FRM-0012,22.57,B,Intake
LOT-00409,FRM-0059,4.17,B,Storage
LOT-00410,FRM-0073,2.39,B,Packing
LOT-00411,FRM-0093,1.52,B,Intake
LOT-00412,FRM-0096,6.23,A,Intake
LOT-00413,FRM-0055,9.27,A,Intake
LOT-00414,FRM-0009,24.67,B,Intake
LOT-00415,FRM-0037,10.81,A,Storage
LOT-00416,FRM-0048,24.83,B,Storage
LOT-00417,FRM-0049,10.02,C,Quality
LOT-00418,FRM-0084,21.65,A,Quality
LOT-00419,FRM-0069,10.43,A,Quality
LOT-00420,FRM-0001,19.15,B,Storage
LOT-00421,FRM-0087,18.26,B,Storage
LOT-00422,FRM-0030,6.94,B,Quality
LOT-00423,FRM-0036,5.52,C,Intake
LOT-00424,FRM-0005,20.43,B,Intake
LOT-00425,FRM-0031,5.95,A,Intake
LOT-00426,FRM-0058,15.35,C,Intake
LOT-00427,FRM-0032,18.77,B,Storage
LOT-00428,FRM-0030,13.95,A,Quality
LOT-00429,FRM-0065,24.84,A,Packing
LOT-00430,FRM-0074,15.35,C,Packing
LOT-00431,FRM-0031,8.24,A,Quality
LOT-00432,FRM-0053,8.21,A,Quality
LOT-00433,FRM-0081,17.29,C,Storage
LOT-00434,FRM-0007,24.33,C,Storage
LOT-00435,FRM-0068,8.65,B,Storage
LOT-00436,FRM-0020,8.2,A,Storage
LOT-00437,FRM-0031,21.38,B,Quality
LOT-00438,FRM-0060,22.95,C,Storage
LOT-00439,FRM-0054,14.37,A,Storage
LOT-00440,FRM-0032,7.12,B,Intake
LOT-00441,FRM-0058,21.33,A,Quality
LOT-00442,FRM-0007,7.44,C,Intake
LOT-00443,FRM-0010,5.52,C,Quality
LOT-00444,FRM-0062,6.01,B,Packing
LOT-00445,FRM-0002,6.08,A,Intake
LOT-00446,FRM-0096,24.99,B,Quality
LOT-00447,FRM-0090,15.51,A,Storage
LOT-00448,FRM-0031,14.25,B,Storage
LOT-00449,FRM-0060,13.81,B,Packing
LOT-00450,FRM-0034,9.63,B,Storage
LOT-00451,FRM-0013,20.27,C,Storage
LOT-00452,FRM-0098,21.15,A,Packing
LOT-00453,FRM-0041,10.93,C,Quality
LOT-00454,FRM-0095,4.5,B,Storage
LOT-00455,FRM-0038,4.66,B,Quality
LOT-00456,FRM-0049,14.67,A,Storage
LOT-00457,FRM-0071,16.71,C,Packing
LOT-00458,FRM-0033,19.32,B,Storage
LOT-00459,FRM-0059,5.04,B,Quality
LOT-00460,FRM-0018,18.29,B,Quality
LOT-00461,FRM-0070,24.77,A,Intake
LOT-00462,FRM-0010,23.68,C,Intake
LOT-00463,FRM-0098,1.15,A,Quality
LOT-00464,FRM-0009,17.97,A,Quality
LOT-00465,FRM-0065,11.94,A,Storage
LOT-00466,FRM-0085,12.71,A,Storage
LOT-00467,FRM-0002,1.4,C,Packing
LOT-00468,FRM-0069,24.46,A,Storage
LOT-00469,FRM-0023,3.57,A,Quality
LOT-00470,FRM-0031,5.61,C,Packing
LOT-00471,FRM-0046,7.42,B,Intake
LOT-00472,FRM-0048,24.02,B,Quality
LOT-00473,FRM-0090,6.42,C,Intake
LOT-00474,FRM-0084,24.8,C,Intake
LOT-00475,FRM-0012,10.73,B,Storage
LOT-00476,FRM-0008,16.28,C,Quality
LOT-00477,FRM-0011,13.0,B,Packing
LOT-00478,FRM-0073,24.46,A,Intake
LOT-00479,FRM-0030,6.07,C,Storage
LOT-00480,FRM-0035,2.12,A,Packing
LOT-00481,FRM-0070,14.52,A,Quality
LOT-00482,FRM-0041,1.38,A,Quality
LOT-00483,FRM-0097,20.7,B,Intake
LOT-00484,FRM-0039,4.9,A,Storage
LOT-00485,FRM-0087,22.52,B,Storage
LOT-00486,FRM-0097,18.75,C,Intake
LOT-00487,FRM-0065,18.89,B,Intake
LOT-00488,FRM-0013,11.49,A,Packing
LOT-00489,FRM-0078,19.46,C,Storage
LOT-00490,FRM-0100,8.83,C,Packing
LOT-00491,FRM-0058,12.77,B,Storage
LOT-00492,FRM-0056,5.46,C,Storage
LOT-00493,FRM-0011,19.53,B,Quality
LOT-00494,FRM-0092,2.76,B,Quality
LOT-00495,FRM-0049,18.08,C,Quality
LOT-00496,FRM-0095,10.35,B,Intake
LOT-00497,FRM-0012,1.12,B,Storage
LOT-00498,FRM-0047,19.27,A,Quality
LOT-00499,FRM-0012,5.5,B,Storage
LOT-00500,FRM-0014,1.63,B,Intake
LOT-00501,FRM-0077,15.35,B,Storage
LOT-00502,FRM-0002,8.0,B,Intake
LOT-00503,FRM-0093,22.63,A,Quality
LOT-00504,FRM-0088,10.14,A,Packing
LOT-00505,FRM-0039,7.44,A,Intake
LOT-00506,FRM-0022,11.43,B,Packing
LOT-00507,FRM-0062,19.78,B,Packing
LOT-00508,FRM-0032,18.3,B,Quality
LOT-00509,FRM-0059,3.57,B,Intake
LOT-00510,FRM-0051,8.97,C,Storage
LOT-00511,FRM-0043,11.57,B,Quality
LOT-00512,FRM-0039,8.7,C,Quality
LOT-00513,FRM-0062,8.54,B,Packing
LOT-00514,FRM-0038,18.64,C,Storage
LOT-00515,FRM-0074,19.77,B,Storage
LOT-00516,FRM-0036,20.6,B,Packing
LOT-00517,FRM-0015,23.37,A,Quality
LOT-00518,FRM-0088,19.42,A,Storage
LOT-00519,FRM-0091,6.03,B,Intake
LOT-00520,FRM-0053,17.15,A,Packing
LOT-00521,FRM-0031,7.06,A,Storage
LOT-00522,FRM-0049,2.78,C,Storage
LOT-00523,FRM-0075,10.62,C,Storage
LOT-00524,FRM-0070,1.88,B,Intake
LOT-00525,FRM-0014,19.45,C,Packing
LOT-00526,FRM-0022,16.53,A,Storage
LOT-00527,FRM-0097,8.96,B,Intake
LOT-00528,FRM-0002,3.37,A,Quality
LOT-00529,FRM-0058,9.98,B,Quality
LOT-00530,FRM-0045,24.94,B,Intake
LOT-00531,FRM-0038,10.98,A,Intake
LOT-00532,FRM-0094,4.4,B,Packing
LOT-00533,FRM-0059,19.82,C,Storage
LOT-00534,FRM-0045,12.43,B,Storage
LOT-00535,FRM-0041,2.61,A,Intake
LOT-00536,FRM-0003,21.38,C,Intake
LOT-00537,FRM-0087,20.2,C,Quality
LOT-00538,FRM-0067,5.19,A,Packing
LOT-00539,FRM-0072,11.23,B,Quality
LOT-00540,FRM-0052,16.11,A,Storage
LOT-00541,FRM-0051,1.7,C,Quality
LOT-00542,FRM-0058,15.21,B,Intake
LOT-00543,FRM-0091,6.16,B,Intake
LOT-00544,FRM-0074,3.44,C,Quality
LOT-00545,FRM-0047,8.82,B,Intake
LOT-00546,FRM-0034,17.1,B,Packing
LOT-00547,FRM-0077,10.33,B,Intake
LOT-00548,FRM-0045,9.45,B,Quality
LOT-00549,FRM-0087,17.94,B,Intake
LOT-00550,FRM-0087,4.21,A,Quality
LOT-00551,FRM-0040,3.81,B,Quality
LOT-00552,FRM-0066,10.32,C,Quality
LOT-00553,FRM-0074,10.21,A,Storage
LOT-00554,FRM-0082,13.9,C,Quality
LOT-00555,FRM-0072,5.0,B,Quality
LOT-00556,FRM-0024,8.55,B,Intake
LOT-00557,FRM-0046,23.84,B,Quality
LOT-00558,FRM-0025,20.57,C,Storage
LOT-00559,FRM-0053,17.43,B,Storage
LOT-00560,FRM-0063,5.01,C,Intake
LOT-00561,FRM-0098,6.29,A,Packing
LOT-00562,FRM-0029,13.9,A,Storage
LOT-00563,FRM-0073,18.82,B,Intake
LOT-00564,FRM-0074,3.74,C,Packing
LOT-00565,FRM-0070,20.74,A,Storage
LOT-00566,FRM-0070,6.25,B,Intake
LOT-00567,FRM-0095,20.92,A,Packing
LOT-00568,FRM-0005,11.79,B,Intake
LOT-00569,FRM-0057,21.77,A,Quality
LOT-00570,FRM-0027,20.46,C,Packing
LOT-00571,FRM-0091,15.65,B,Quality
LOT-00572,FRM-0079,4.34,A,Quality
LOT-00573,FRM-0008,14.68,C,Packing
LOT-00574,FRM-0077,13.93,B,Packing
LOT-00575,FRM-0038,14.75,C,Intake
LOT-00576,FRM-0018,24.11,B,Intake
LOT-00577,FRM-0036,21.81,A,Quality
LOT-00578,FRM-0032,4.51,B,Quality
LOT-00579,FRM-0098,21.25,B,Storage
LOT-00580,FRM-0019,14.86,B,Storage
LOT-00581,FRM-0049,11.85,C,Intake
