id,lot_id,warehouse_id,quantity_tons,status
INV-00162,LOT-00162,WH-001,16.83,Available
INV-00163,LOT-00163,WH-003,2.59,Available
INV-00164,LOT-00164,WH-002,5.59,Available
INV-00165,LOT-00165,WH-010,8.05,Available
INV-00166,LOT-00166,WH-003,9.4,Available
INV-00167,LOT-00167,WH-001,13.59,Available
INV-00168,LOT-00168,WH-009,15.57,Available
INV-00169,LOT-00169,WH-004,15.6,Available
INV-00170,LOT-00170,WH-006,1.83,Available
INV-00171,LOT-00171,WH-001,19.02,Available
INV-00172,LOT-00172,WH-006,17.33,Available
INV-00173,LOT-00173,WH-005,18.51,Available
INV-00174,LOT-00174,WH-006,9.78,Available
INV-00175,LOT-00175,WH-001,8.43,Available
INV-00176,LOT-00176,WH-003,18.99,Available
INV-00177,LOT-00177,WH-009,2.21,Available
INV-00178,LOT-00178,WH-003,12.92,Available
INV-00179,LOT-00179,WH-006,13.5,Available
INV-00180,LOT-00180,WH-008,1.48,Available
INV-00181,LOT-00181,WH-008,2.32,Available
INV-00182,LOT-00182,WH-004,12.43,Available
INV-00183,LOT-00183,WH-005,11.58,Available
INV-00184,LOT-00184,WH-003,11.4,Available
INV-00185,LOT-00185,WH-006,2.08,Available
INV-00186,LOT-00186,WH-002,8.79,Available
INV-00187,LOT-00187,WH-009,1.33,Available
INV-00188,LOT-00188,WH-003,14.76,Available
INV-00189,LOT-00189,WH-006,8.04,Available
INV-00190,LOT-00190,WH-003,18.13,Available
INV-00191,LOT-00191,WH-004,1.11,Available
INV-00192,LOT-00192,WH-001,11.69,Available
INV-00193,LOT-00193,WH-007,15.61,Available
INV-00194,LOT-00194,WH-002,17.28,Available
INV-00195,LOT-00195,WH-001,11.71,Available
INV-00196,LOT-00196,WH-002,1.38,Available
INV-00197,LOT-00197,WH-008,18.81,Available
INV-00198,LOT-00198,WH-007,6.37,Available
INV-00199,LOT-00199,WH-010,8.35,Available
INV-00200,LOT-00200,WH-004,13.97,Available
INV-00201,LOT-00201,WH-010,5.75,Available
INV-00202,LOT-00202,WH-008,10.1,Available
INV-00203,LOT-00203,WH-003,9.63,Available
INV-00204,LOT-00204,WH-006,5.25,Available
INV-00205,LOT-00205,WH-005,13.1,Available
INV-00206,LOT-00206,WH-003,19.3,Available
INV-00207,LOT-00207,WH-007,19.98,Available
INV-00208,LOT-00208,WH-003,7.99,Available
INV-00209,LOT-00209,WH-001,9.2,Available
INV-00210,LOT-00210,WH-005,3.74,Available
INV-00211,LOT-00211,WH-008,8.8,Available
INV-00212,LOT-00212,WH-009,17.18,Available
INV-00213,LOT-00213,WH-007,3.38,Available
INV-00214,LOT-00214,WH-006,4.95,Available
INV-00215,LOT-00215,WH-007,9.0,Available
INV-00216,LOT-00216,WH-007,9.75,Available
INV-00217,LOT-00217,WH-008,9.43,Available
INV-00218,LOT-00218,WH-007,9.81,Available
INV-00219,LOT-00219,WH-006,7.19,Available
INV-00220,LOT-00220,WH-007,3.53,Available
INV-00221,LOT-00221,WH-009,4.91,Available
INV-00222,LOT-00222,WH-004,14.54,Available
INV-00223,LOT-00223,WH-010,4.7,Available
INV-00224,LOT-00224,WH-010,7.9,Available
INV-00225,LOT-00225,WH-008,11.42,Available
INV-00226,LOT-00226,WH-007,8.12,Available
INV-00227,LOT-00227,WH-005,5.06,Available
INV-00228,LOT-00228,WH-003,9.93,Available
INV-00229,LOT-00229,WH-009,13.39,Available
INV-00230,LOT-00230,WH-005,18.19,Available
INV-00231,LOT-00231,WH-010,8.83,Available
INV-00232,LOT-00232,WH-004,5.13,Available
INV-00233,LOT-00233,WH-009,17.91,Available
INV-00234,LOT-00234,WH-007,18.81,Available
INV-00235,LOT-00235,WH-007,4.43,Available
INV-00236,LOT-00236,WH-008,1.45,Available
INV-00237,LOT-00237,WH-004,8.33,Available
INV-00238,LOT-00238,WH-003,6.19,Available
INV-00239,LOT-00239,WH-010,15.62,Available
INV-00240,LOT-00240,WH-007,11.93,Available
INV-00241,LOT-00241,WH-004,3.86,Available
INV-00242,LOT-00242,WH-006,9.9,Available
INV-00243,LOT-00243,WH-003,15.49,Available
INV-00244,LOT-00244,WH-008,7.01,Available
INV-00245,LOT-00245,WH-010,11.08,Available
INV-00246,LOT-00246,WH-001,13.85,Available
INV-00247,LOT-00247,WH-002,2.63,Available
INV-00248,LOT-00248,WH-001,18.48,Available
INV-00249,LOT-00249,WH-001,7.3,Available
INV-00250,LOT-00250,WH-002,6.95,Available
INV-00251,LOT-00251,WH-006,4.86,Available
INV-00252,LOT-00252,WH-003,19.2,Available
INV-00253,LOT-00253,WH-005,16.97,Available
INV-00254,LOT-00254,WH-006,12.84,Available
INV-00255,LOT-00255,WH-006,12.09,Available
INV-00256,LOT-00256,WH-008,10.03,Available
INV-00257,LOT-00257,WH-003,6.51,Available
INV-00258,LOT-00258,WH-002,16.24,Available
INV-00259,LOT-00259,WH-003,18.12,Available
INV-00260,LOT-00260,WH-003,4.1,Available
INV-00261,LOT-00261,WH-002,11.11,Available
INV-00262,LOT-00262,WH-010,8.78,Available
INV-00263,LOT-00263,WH-009,11.49,Available
INV-00264,LOT-00264,WH-008,14.3,Available
INV-00265,LOT-00265,WH-005,14.11,Available
INV-00266,LOT-00266,WH-004,19.55,Available
INV-00267,LOT-00267,WH-003,18.27,Available
INV-00268,LOT-00268,WH-002,15.36,Available
INV-00269,LOT-00269,WH-003,17.72,Available
INV-00270,LOT-00270,WH-008,8.21,Available
INV-00271,LOT-00271,WH-003,15.58,Available
INV-00272,LOT-00272,WH-010,14.07,Available
INV-00273,LOT-00273,WH-006,18.69,Available
INV-00274,LOT-00274,WH-010,11.87,Available
INV-00275,LOT-00275,WH-008,17.99,Available
INV-00276,LOT-00276,WH-008,18.99,Available
INV-00277,LOT-00277,WH-010,7.53,Available
INV-00278,LOT-00278,WH-006,19.77,Available
INV-00279,LOT-00279,WH-006,2.31,Available
INV-00280,LOT-00280,WH-003,12.86,Available
INV-00281,LOT-00281,WH-007,18.42,Available
INV-00282,LOT-00282,WH-002,19.87,Available
INV-00283,LOT-00283,WH-004,19.27,Available
INV-00284,LOT-00284,WH-006,6.55,Available
INV-00285,LOT-00285,WH-002,7.74,Available
INV-00286,LOT-00286,WH-008,1.3,Available
INV-00287,LOT-00287,WH-010,8.94,Available
INV-00288,LOT-00288,WH-003,7.94,Available
INV-00289,LOT-00289,WH-005,4.65,Available
INV-00290,LOT-00290,WH-005,19.66,Available
INV-00291,LOT-00291,WH-001,10.3,Available
INV-00292,LOT-00292,WH-003,1.99,Available
INV-00293,LOT-00293,WH-004,14.31,Available
INV-00294,LOT-00294,WH-005,9.53,Available
INV-00295,LOT-00295,WH-007,7.41,Available
INV-00296,LOT-00296,WH-005,15.25,Available
INV-00297,LOT-00297,WH-008,13.53,Available
INV-00298,LOT-00298,WH-006,11.47,Available
INV-00299,LOT-00299,WH-003,17.57,Available
INV-00300,LOT-00300,WH-010,1.2,Available
INV-00301,LOT-00301,WH-010,1.37,Available
INV-00302,LOT-00302,WH-007,4.79,Available
INV-00303,LOT-00303,WH-008,8.22,Available
INV-00304,LOT-00304,WH-001,14.21,Available
INV-00305,LOT-00305,WH-005,14.24,Available
INV-00306,LOT-00306,WH-006,7.97,Available
INV-00307,LOT-00307,WH-009,17.22,Available
INV-00308,LOT-00308,WH-007,8.74,Available
INV-00309,LOT-00309,WH-006,3.51,Available
INV-00310,LOT-00310,WH-006,14.66,Available
INV-00311,LOT-00311,WH-009,4.67,Available
INV-00312,LOT-00312,WH-005,6.07,Available
INV-00313,LOT-00313,WH-008,18.46,Available
INV-00314,LOT-00314,WH-002,16.3,Available
INV-00315,LOT-00315,WH-006,17.37,Available
INV-00316,LOT-00316,WH-002,1.44,Available
INV-00317,LOT-00317,WH-003,16.32,Available
INV-00318,LOT-00318,WH-002,5.62,Available
INV-00319,LOT-00319,WH-003,8.09,Available
INV-00320,LOT-00320,WH-003,11.87,Available
INV-00321,LOT-00321,WH-004,15.8,Available
INV-00322,LOT-00322,WH-002,1.18,Available
INV-00323,LOT-00323,WH-001,14.99,Available
INV-00324,LOT-00324,WH-006,17.53,Available
INV-00325,LOT-00325,WH-010,2.34,Available
INV-00326,LOT-00326,WH-010,12.9,Available
INV-00327,LOT-00327,WH-008,12.99,Available
INV-00328,LOT-00328,WH-006,15.94,Available
INV-00329,LOT-00329,WH-002,12.64,Available
INV-00330,LOT-00330,WH-001,14.38,Available
INV-00331,LOT-00331,WH-004,18.44,Available
INV-00332,LOT-00332,WH-002,4.53,Available
INV-00333,LOT-00333,WH-002,1.07,Available
INV-00334,LOT-00334,WH-004,4.99,Available
INV-00335,LOT-00335,WH-002,8.35,Available
INV-00336,LOT-00336,WH-009,4.66,Available
INV-00337,LOT-00337,WH-004,14.46,Available
INV-00338,LOT-00338,WH-008,12.5,Available
INV-00339,LOT-00339,WH-003,9.91,Available
INV-00340,LOT-00340,WH-010,17.44,Available
INV-00341,LOT-00341,WH-001,9.41,Available
INV-00342,LOT-00342,WH-009,1.12,Available
INV-00343,LOT-00343,WH-003,19.51,Available
INV-00344,LOT-00344,WH-005,3.73,Available
INV-00345,LOT-00345,WH-009,11.93,Available
INV-00346,LOT-00346,WH-004,14.3,Available
INV-00347,LOT-00347,WH-002,4.58,Available
INV-00348,LOT-00348,WH-006,15.37,Available
INV-00349,LOT-00349,WH-004,4.09,Available
INV-00350,LOT-00350,WH-010,6.64,Available
INV-00351,LOT-00351,WH-007,10.63,Available
INV-00352,LOT-00352,WH-005,5.15,Available
INV-00353,LOT-00353,WH-005,16.66,Available
INV-00354,LOT-00354,WH-004,11.08,Available
INV-00355,LOT-00355,WH-005,6.35,Available
INV-00356,LOT-00356,WH-003,2.23,Available
INV-00357,LOT-00357,WH-002,10.38,Available
INV-00358,LOT-00358,WH-001,12.78,Available
INV-00359,LOT-00359,WH-007,2.52,Available
INV-00360,LOT-00360,WH-008,1.23,Available
INV-00361,LOT-00361,WH-002,7.05,Available
INV-00362,LOT-00362,WH-006,14.26,Available
INV-00363,LOT-00363,WH-010,13.89,Available
INV-00364,LOT-00364,WH-002,11.81,Available
INV-00365,LOT-00365,WH-006,9.56,Available
INV-00366,LOT-00366,WH-008,8.04,Available
INV-00367,LOT-00367,WH-005,15.5,Available
INV-00368,LOT-00368,WH-006,11.37,Available
INV-00369,LOT-00369,WH-004,5.33,Available
INV-00370,LOT-00370,WH-003,1.81,Available
INV-00371,LOT-00371,WH-006,8.78,Available
INV-00372,LOT-00372,WH-008,7.16,Available
INV-00373,LOT-00373,WH-007,9.81,Available
INV-00374,LOT-00374,WH-008,9.59,Available
INV-00375,LOT-00375,WH-003,15.02,Available
INV-00376,LOT-00376,WH-007,8.97,Available
INV-00377,LOT-00377,WH-001,17.59,Available
INV-00378,LOT-00378,WH-006,8.25,Available
INV-00379,LOT-00379,WH-003,8.59,Available
INV-00380,LOT-00380,WH-001,9.25,Available
INV-00381,LOT-00381,WH-003,3.87,Available
INV-00382,LOT-00382,WH-003,5.12,Available
INV-00383,LOT-00383,WH-001,8.43,Available
INV-00384,LOT-00384,WH-003,6.15,Available
INV-00385,LOT-00385,WH-004,1.41,Available
INV-00386,LOT-00386,WH-007,4.01,Available
INV-00387,LOT-00387,WH-009,6.28,Available
INV-00388,LOT-00388,WH-004,10.24,Available
INV-00389,LOT-00389,WH-008,9.22,Available
INV-00390,LOT-00390,WH-003,10.26,Available
INV-00391,LOT-00391,WH-001,7.71,Available
INV-00392,LOT-00392,WH-002,2.27,Available
INV-00393,LOT-00393,WH-006,14.41,Available
INV-00394,LOT-00394,WH-010,6.5,Available
INV-00395,LOT-00395,WH-004,10.86,Available
INV-00396,LOT-00396,WH-008,16.27,Available
INV-00397,LOT-00397,WH-007,10.32,Available
INV-00398,LOT-00398,WH-005,13.0,Available
INV-00399,LOT-00399,WH-006,12.98,Available
INV-00400,LOT-00400,WH-010,9.15,Available
INV-00401,LOT-00401,WH-002,12.38,Available
INV-00402,LOT-00402,WH-009,6.36,Available
INV-00403,LOT-00403,WH-006,16.34,Available
INV-00404,LOT-00404,WH-003,8.02,Available
INV-00405,LOT-00405,WH-008,2.2,Available
INV-00406,LOT-00406,WH-008,8.03,Available
INV-00407,LOT-00407,WH-004,4.98,Available
INV-00408,LOT-00408,WH-006,14.08,Available
INV-00409,LOT-00409,WH-006,13.04,Available
INV-00410,LOT-00410,WH-008,15.95,Available
INV-00411,LOT-00411,WH-009,7.47,Available
INV-00412,LOT-00412,WH-006,14.27,Available
INV-00413,LOT-00413,WH-003,19.34,Available
INV-00414,LOT-00414,WH-010,19.45,Available
INV-00415,LOT-00415,WH-004,14.45,Available
INV-00416,LOT-00416,WH-010,5.5,Available
INV-00417,LOT-00417,WH-004,10.28,Available
INV-00418,LOT-00418,WH-008,17.92,Available
INV-00419,LOT-00419,WH-006,10.71,Available
INV-00420,LOT-00420,WH-002,8.3,Available
INV-00421,LOT-00421,WH-003,12.85,Available
INV-00422,LOT-00422,WH-002,11.06,Available
INV-00423,LOT-00423,WH-008,12.45,Available
INV-00424,LOT-00424,WH-005,2.27,Available
INV-00425,LOT-00425,WH-007,15.77,Available
INV-00426,LOT-00426,WH-005,14.53,Available
INV-00427,LOT-00427,WH-006,17.11,Available
INV-00428,LOT-00428,WH-001,10.0,Available
INV-00429,LOT-00429,WH-004,13.03,Available
INV-00430,LOT-00430,WH-006,7.77,Available
INV-00431,LOT-00431,WH-010,10.17,Available
INV-00432,LOT-00432,WH-003,15.89,Available
INV-00433,LOT-00433,WH-006,10.21,Available
INV-00434,LOT-00434,WH-006,12.49,Available
INV-00435,LOT-00435,WH-009,4.8,Available
INV-00436,LOT-00436,WH-004,19.2,Available
INV-00437,LOT-00437,WH-010,12.5,Available
INV-00438,LOT-00438,WH-005,14.93,Available
INV-00439,LOT-00439,WH-004,10.95,Available
INV-00440,LOT-00440,WH-009,6.37,Available
INV-00441,LOT-00441,WH-007,9.04,Available
INV-00442,LOT-00442,WH-001,6.67,Available
INV-00443,LOT-00443,WH-004,3.74,Available
INV-00444,LOT-00444,WH-001,1.55,Available
INV-00445,LOT-00445,WH-007,2.5,Available
INV-00446,LOT-00446,WH-008,15.74,Available
INV-00447,LOT-00447,WH-003,9.49,Available
INV-00448,LOT-00448,WH-007,11.55,Available
INV-00449,LOT-00449,WH-010,9.44,Available
INV-00450,LOT-00450,WH-006,3.05,Available
INV-00451,LOT-00451,WH-005,9.66,Available
INV-00452,LOT-00452,WH-004,14.42,Available
INV-00453,LOT-00453,WH-008,6.41,Available
INV-00454,LOT-00454,WH-010,3.44,Available
INV-00455,LOT-00455,WH-001,3.35,Available
INV-00456,LOT-00456,WH-006,11.5,Available
INV-00457,LOT-00457,WH-006,3.69,Available
INV-00458,LOT-00458,WH-007,11.45,Available
INV-00459,LOT-00459,WH-007,13.28,Available
INV-00460,LOT-00460,WH-007,4.38,Available
INV-00461,LOT-00461,WH-010,16.89,Available
INV-00462,LOT-00462,WH-001,13.23,Available
INV-00463,LOT-00463,WH-006,11.75,Available
INV-00464,LOT-00464,WH-010,1.75,Available
INV-00465,LOT-00465,WH-009,2.06,Available
INV-00466,LOT-00466,WH-003,10.44,Available
INV-00467,LOT-00467,WH-002,3.66,Available
INV-00468,LOT-00468,WH-002,10.93,Available
INV-00469,LOT-00469,WH-004,2.75,Available
INV-00470,LOT-00470,WH-006,19.47,Available
INV-00471,LOT-00471,WH-006,2.54,Available
INV-00472,LOT-00472,WH-006,15.27,Available
INV-00473,LOT-00473,WH-008,8.61,Available
INV-00474,LOT-00474,WH-001,10.97,Available
INV-00475,LOT-00475,WH-007,14.2,Available
INV-00476,LOT-00476,WH-009,16.63,Available
INV-00477,LOT-00477,WH-004,9.52,Available
INV-00478,LOT-00478,WH-002,15.49,Available
INV-00479,LOT-00479,WH-005,5.32,Available
INV-00480,LOT-00480,WH-001,13.25,Available
INV-00481,LOT-00481,WH-009,1.46,Available
INV-00482,LOT-00482,WH-004,10.1,Available
INV-00483,LOT-00483,WH-001,5.16,Available
INV-00484,LOT-00484,WH-004,19.05,Available
INV-00485,LOT-00485,WH-003,10.51,Available
INV-00486,LOT-00486,WH-006,8.36,Available
INV-00487,LOT-00487,WH-007,1.37,Available
INV-00488,LOT-00488,WH-005,10.35,Available
INV-00489,LOT-00489,WH-007,11.45,Available
INV-00490,LOT-00490,WH-001,4.8,Available
INV-00491,LOT-00491,WH-001,4.97,Available
INV-00492,LOT-00492,WH-010,10.34,Available
INV-00493,LOT-00493,WH-006,14.33,Available
INV-00494,LOT-00494,WH-010,17.75,Available
INV-00495,LOT-00495,WH-009,18.07,Available
INV-00496,LOT-00496,WH-003,8.55,Available
INV-00497,LOT-00497,WH-003,11.19,Available
INV-00498,LOT-00498,WH-010,6.35,Available
INV-00499,LOT-00499,WH-009,8.11,Available
INV-00500,LOT-00500,WH-007,4.04,Available
INV-00501,LOT-00501,WH-004,15.33,Available
INV-00502,LOT-00502,WH-005,7.36,Available
INV-00503,LOT-00503,WH-006,18.06,Available
INV-00504,LOT-00504,WH-007,3.26,Available
INV-00505,LOT-00505,WH-005,9.58,Available
INV-00506,LOT-00506,WH-008,12.46,Available
INV-00507,LOT-00507,WH-009,15.63,Available
INV-00508,LOT-00508,WH-004,4.51,Available
INV-00509,LOT-00509,WH-001,8.36,Available
INV-00510,LOT-00510,WH-002,15.11,Available
INV-00511,LOT-00511,WH-004,4.8,Available
INV-00512,LOT-00512,WH-010,14.98,Available
INV-00513,LOT-00513,WH-005,16.83,Available
INV-00514,LOT-00514,WH-004,17.85,Available
INV-00515,LOT-00515,WH-005,7.86,Available
INV-00516,LOT-00516,WH-001,13.31,Available
INV-00517,LOT-00517,WH-004,11.77,Available
INV-00518,LOT-00518,WH-005,5.12,Available
INV-00519,LOT-00519,WH-001,6.89,Available
INV-00520,LOT-00520,WH-004,16.76,Available
INV-00521,LOT-00521,WH-006,4.92,Available
INV-00522,LOT-00522,WH-007,14.68,Available
INV-00523,LOT-00523,WH-008,19.7,Available
INV-00524,LOT-00524,WH-010,15.32,Available
INV-00525,LOT-00525,WH-008,10.12,Available
INV-00526,LOT-00526,WH-010,6.42,Available
INV-00527,LOT-00527,WH-004,2.48,Available
INV-00528,LOT-00528,WH-002,17.8,Available
INV-00529,LOT-00529,WH-001,12.77,Available
INV-00530,LOT-00530,WH-001,18.99,Available
INV-00531,LOT-00531,WH-001,6.77,Available
INV-00532,LOT-00532,WH-007,14.85,Available
INV-00533,LOT-00533,WH-003,2.85,Available
INV-00534,LOT-00534,WH-006,5.09,Available
INV-00535,LOT-00535,WH-004,19.45,Available
INV-00536,LOT-00536,WH-006,2.45,Available
INV-00537,LOT-00537,WH-007,13.42,Available
INV-00538,LOT-00538,WH-005,15.64,Available
INV-00539,LOT-00539,WH-002,6.74,Available
INV-00540,LOT-00540,WH-005,9.68,Available
INV-00541,LOT-00541,WH-004,3.29,Available
INV-00542,LOT-00542,WH-001,17.73,Available
INV-00543,LOT-00543,WH-008,4.32,Available
INV-00544,LOT-00544,WH-002,2.64,Available
INV-00545,LOT-00545,WH-004,9.65,Available
INV-00546,LOT-00546,WH-010,14.2,Available
INV-00547,LOT-00547,WH-005,6.13,Available
INV-00548,LOT-00548,WH-010,10.11,Available
INV-00549,LOT-00549,WH-003,5.09,Available
INV-00550,LOT-00550,WH-007,13.88,Available
INV-00551,LOT-00551,WH-001,1.71,Available
INV-00552,LOT-00552,WH-007,16.78,Available
INV-00553,LOT-00553,WH-007,4.33,Available
INV-00554,LOT-00554,WH-001,11.96,Available
INV-00555,LOT-00555,WH-001,13.48,Available
INV-00556,LOT-00556,WH-005,14.49,Available
INV-00557,LOT-00557,WH-008,4.85,Available
INV-00558,LOT-00558,WH-005,1.46,Available
